"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","03-Jul-2017","        379.70","        381.45","        384.15","        376.80","        381.60","        382.05","        381.42","    1521063","           580163410.80","      15671","     738339","         48.54"
"BHARTIARTL","EQ","04-Jul-2017","        382.05","        383.90","        383.90","        378.10","        379.20","        379.30","        379.82","    1655289","           628705844.55","      21597","     990563","         59.84"
"BHARTIARTL","EQ","05-Jul-2017","        379.30","        377.00","        378.50","        373.35","        376.65","        376.30","        375.40","    2107618","           791197606.65","      20814","    1439189","         68.29"
"BHARTIARTL","EQ","06-Jul-2017","        376.30","        376.55","        382.85","        373.95","        381.20","        381.30","        379.89","    2162556","           821536733.15","      28573","    1129739","         52.24"
"BHARTIARTL","EQ","07-Jul-2017","        381.30","        384.00","        387.55","        383.00","        387.55","        385.90","        385.28","    4371065","          1684069449.30","      37883","    3261760","         74.62"
"BHARTIARTL","EQ","10-Jul-2017","        385.90","        388.10","        410.15","        388.00","        405.00","        405.70","        404.08","    1901518","           768356181.10","      14555","     881739","         46.37"
"BHARTIARTL","EQ","11-Jul-2017","        405.70","        404.15","        408.90","        393.45","        394.45","        395.45","        401.71","    5565524","          2235742085.10","      68716","    3113596","         55.94"
"BHARTIARTL","EQ","12-Jul-2017","        395.45","        397.80","        402.30","        394.45","        399.00","        397.10","        397.28","    2608465","          1036278350.05","      39662","    1147573","         43.99"
"BHARTIARTL","EQ","13-Jul-2017","        397.10","        402.25","        404.90","        398.70","        403.95","        403.15","        401.44","    2594966","          1041720309.65","      46805","    1453269","         56.00"
"BHARTIARTL","EQ","14-Jul-2017","        403.15","        405.05","        408.60","        402.20","        405.95","        407.00","        406.22","    2184660","           887449965.70","      37219","    1169138","         53.52"
"BHARTIARTL","EQ","17-Jul-2017","        407.00","        409.50","        410.00","        405.95","        409.00","        408.45","        407.88","    2269037","           925486749.40","      59516","    1626564","         71.69"
"BHARTIARTL","EQ","18-Jul-2017","        408.45","        406.20","        430.00","        406.20","        408.50","        408.30","        414.77","    3640766","          1510069980.40","      47942","    1413098","         38.81"
"BHARTIARTL","EQ","19-Jul-2017","        408.30","        410.00","        422.80","        407.25","        420.50","        421.25","        418.88","    4600139","          1926887529.70","      68760","    2141418","         46.55"
"BHARTIARTL","EQ","20-Jul-2017","        421.25","        422.00","        424.50","        416.10","        420.45","        419.80","        420.15","    3069917","          1289837050.10","      29970","    1769729","         57.65"
"BHARTIARTL","EQ","21-Jul-2017","        419.80","        417.00","        417.00","        402.60","        411.00","        411.30","        408.89","   10944639","          4475122187.05","     120208","    5013965","         45.81"
"BHARTIARTL","EQ","24-Jul-2017","        411.30","        407.00","        422.50","        406.05","        419.00","        420.05","        416.62","    4889853","          2037207675.15","      88246","    2760261","         56.45"
"BHARTIARTL","EQ","25-Jul-2017","        420.05","        422.65","        431.60","        418.65","        427.50","        427.80","        425.52","    6430068","          2736099985.00","      83243","    2280846","         35.47"
"BHARTIARTL","EQ","26-Jul-2017","        427.80","        430.00","        430.05","        421.75","        426.40","        426.25","        425.29","    5195656","          2209636107.90","      78071","    2586488","         49.78"
"BHARTIARTL","EQ","27-Jul-2017","        426.25","        426.00","        426.75","        411.45","        414.05","        416.05","        416.51","   13918157","          5797023565.70","      86560","    9297724","         66.80"
"BHARTIARTL","EQ","28-Jul-2017","        416.05","        413.05","        415.50","        408.20","        412.95","        413.30","        412.00","    1748552","           720403360.20","      22832","     727022","         41.58"
"BHARTIARTL","EQ","31-Jul-2017","        413.30","        415.00","        421.45","        410.00","        420.00","        418.95","        416.45","    2662076","          1108616649.95","      22651","    1869997","         70.25"
"BHARTIARTL","EQ","01-Aug-2017","        418.95","        420.15","        423.00","        413.75","        419.50","        417.05","        417.81","    2206614","           921944294.05","      26468","    1267032","         57.42"
"BHARTIARTL","EQ","02-Aug-2017","        417.05","        420.85","        422.65","        412.75","        414.00","        415.85","        416.52","    1978308","           823999376.80","      39754","    1233072","         62.33"
"BHARTIARTL","EQ","03-Aug-2017","        415.85","        415.95","        425.10","        413.25","        423.40","        424.20","        419.06","    2535067","          1062347996.25","      33607","    1445614","         57.02"
"BHARTIARTL","EQ","04-Aug-2017","        424.20","        423.35","        423.35","        411.60","        421.10","        420.90","        416.39","    2707432","          1127359732.45","      25380","    1463374","         54.05"
"BHARTIARTL","EQ","07-Aug-2017","        420.90","        420.85","        422.60","        416.45","        417.50","        417.45","        419.25","    1170962","           490925294.70","      24478","     603924","         51.58"
"BHARTIARTL","EQ","08-Aug-2017","        417.45","        417.50","        425.00","        414.10","        417.95","        417.80","        418.31","    1797460","           751896930.00","      20568","     701206","         39.01"
"BHARTIARTL","EQ","09-Aug-2017","        417.80","        418.95","        418.95","        412.00","        417.30","        416.05","        414.90","    1226554","           508902552.80","      20585","     571112","         46.56"
"BHARTIARTL","BL","10-Aug-2017","        335.50","        416.05","        416.05","        416.05","        416.05","        416.05","        416.05","     121000","            50342050.00","          1","     121000","        100.00"
"BHARTIARTL","EQ","10-Aug-2017","        416.05","        415.10","        420.50","        412.30","        416.40","        416.25","        416.54","    1497110","           623604366.75","      23216","     737811","         49.28"
"BHARTIARTL","EQ","11-Aug-2017","        416.25","        412.00","        418.00","        410.00","        414.80","        414.55","        414.10","    2287991","           947457237.95","      36727","    1215509","         53.13"
"BHARTIARTL","EQ","14-Aug-2017","        414.55","        413.00","        414.45","        405.15","        409.50","        408.55","        410.01","    2013666","           825619536.15","      32755","     918237","         45.60"
"BHARTIARTL","EQ","16-Aug-2017","        408.55","        407.00","        411.10","        403.75","        408.35","        407.75","        405.82","    3768547","          1529347488.15","      37613","    2385087","         63.29"
"BHARTIARTL","EQ","17-Aug-2017","        407.75","        411.00","        420.00","        405.95","        416.30","        416.35","        414.83","    2958725","          1227382301.50","      54432","    1603476","         54.19"
"BHARTIARTL","EQ","18-Aug-2017","        416.35","        413.95","        422.40","        412.75","        421.90","        421.00","        419.90","    2759975","          1158912331.25","      34265","    1521049","         55.11"
"BHARTIARTL","EQ","21-Aug-2017","        421.00","        423.45","        425.80","        417.50","        419.95","        419.15","        422.04","    1870782","           789537068.55","      29590","    1142512","         61.07"
"BHARTIARTL","EQ","22-Aug-2017","        419.15","        422.70","        425.00","        416.55","        424.90","        422.10","        420.73","    3115334","          1310720837.50","      46964","    2222695","         71.35"
"BHARTIARTL","EQ","23-Aug-2017","        422.10","        424.25","        434.00","        424.20","        433.50","        431.90","        430.05","    4285266","          1842858289.05","      46169","    2514491","         58.68"
"BHARTIARTL","EQ","24-Aug-2017","        431.90","        433.00","        434.35","        428.00","        433.35","        432.95","        431.31","    2499222","          1077950211.70","      34506","    1730064","         69.22"
"BHARTIARTL","EQ","28-Aug-2017","        432.95","        434.00","        438.15","        430.20","        434.65","        434.40","        434.40","    2529369","          1098747152.60","      39726","    1537703","         60.79"
"BHARTIARTL","EQ","29-Aug-2017","        434.40","        435.50","        435.50","        427.35","        427.35","        428.10","        429.26","    1894924","           813421375.90","      20830","    1239608","         65.42"
"BHARTIARTL","EQ","30-Aug-2017","        428.10","        431.50","        431.70","        427.50","        430.00","        429.00","        429.48","    2153282","           924796215.85","      37223","    1442347","         66.98"
"BHARTIARTL","EQ","31-Aug-2017","        429.00","        431.80","        431.80","        424.15","        427.00","        427.70","        426.91","    7131194","          3044364533.50","      48674","    5393423","         75.63"
"BHARTIARTL","EQ","01-Sep-2017","        427.70","        430.00","        430.45","        421.20","        423.00","        422.55","        423.38","    1799076","           761701487.05","      27282","     917179","         50.98"
"BHARTIARTL","EQ","04-Sep-2017","        422.55","        423.00","        424.95","        413.70","        414.45","        416.40","        416.87","    1270036","           529444572.95","      41592","     455504","         35.87"
"BHARTIARTL","EQ","05-Sep-2017","        416.40","        414.10","        414.90","        397.90","        405.85","        406.50","        404.44","    6492726","          2625902004.05","      57646","    2476766","         38.15"
"BHARTIARTL","EQ","06-Sep-2017","        406.50","        401.55","        405.55","        401.55","        402.05","        402.50","        403.41","    1860455","           750520539.45","      23861","    1076658","         57.87"
"BHARTIARTL","EQ","07-Sep-2017","        402.50","        402.60","        407.45","        395.05","        395.50","        397.30","        401.44","    2381502","           956022147.55","      31044","    1338998","         56.22"
"BHARTIARTL","EQ","08-Sep-2017","        397.30","        397.90","        404.85","        396.60","        403.15","        403.50","        401.36","    1814900","           728425631.55","      32976","     663930","         36.58"
"BHARTIARTL","EQ","11-Sep-2017","        403.50","        407.00","        407.40","        398.50","        401.95","        402.95","        401.92","    1452972","           583977173.00","      17091","     542219","         37.32"
"BHARTIARTL","EQ","12-Sep-2017","        402.95","        407.00","        407.00","        398.00","        404.10","        405.20","        401.85","    2328047","           935517868.60","      24507","     949152","         40.77"
"BHARTIARTL","EQ","13-Sep-2017","        405.20","        407.40","        407.70","        399.80","        403.50","        401.65","        404.16","    1692304","           683958151.25","      24374","     464154","         27.43"
"BHARTIARTL","EQ","14-Sep-2017","        401.65","        406.50","        406.50","        397.00","        400.60","        398.90","        400.60","    1502692","           601979139.95","      22680","     590673","         39.31"
"BHARTIARTL","EQ","15-Sep-2017","        398.90","        400.00","        402.95","        393.35","        398.75","        396.00","        397.31","    4812148","          1911909412.95","      58148","    3507011","         72.88"
"BHARTIARTL","EQ","18-Sep-2017","        396.00","        399.00","        401.25","        395.20","        397.30","        396.65","        397.32","    1180053","           468864510.85","      18759","     691527","         58.60"
"BHARTIARTL","EQ","19-Sep-2017","        396.65","        399.00","        399.00","        390.60","        395.10","        394.80","        394.35","     994791","           392298404.90","      13367","     369282","         37.12"
